SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,69 Manor Dr #69,Cornwall,NY,12518,75000,2,1.0,Cornwall,750,,1965,108,100,,Active,,,http://www.redfin.com/NY/Cornwall/69-Manor-Dr-12518/unit-69/home/56166867,HGMLS,4929634,N,Y,41.4400117,-74.0408332
MLS Listing,,Multi-Family (2-4 Unit),12 John St,New Windsor,NY,12553,265000,6,2.0,New Windsor,1980,20037,1961,108,134,,Active,,,http://www.redfin.com/NY/New-Windsor/12-John-St-12553/home/92374791,HGMLS,4927775,N,Y,41.441668,-74.0652355
MLS Listing,,Single Family Residential,37 Ridge Rd,Cornwall,NY,12518,675000,5,2.5,Cornwall,2799,130680,1910,108,241,,Active,,,http://www.redfin.com/NY/Cornwall/37-Ridge-Rd-12518/home/92375079,HGMLS,4927903,N,Y,41.4307697,-74.0285866
MLS Listing,,Vacant Land,2 Marcel Ct,Cornwall,NY,12518,50000,,,Cornwall,,73180,,113,,,Active,,,http://www.redfin.com/NY/CORNWALL/2-MARCEL-CT-12518/home/54988424,HGMLS,4921372,N,Y,41.397272,-74.078944
MLS Listing,,Vacant Land,1 Marcel Ct,Cornwall,NY,12518,44900,,,Cornwall,,71874,,113,,,Active,,,http://www.redfin.com/NY/CORNWALL/1-MARCEL-CT-12518/home/54987921,HGMLS,4921340,N,Y,41.397893,-74.078854
MLS Listing,,Vacant Land,5 Marcel Ct,Cornwall,NY,12518,64900,,,Cornwall,,88426,,113,,,Active,,,http://www.redfin.com/NY/CORNWALL/5-MARCEL-CT-12518/home/54988423,HGMLS,4921406,N,Y,41.398596,-74.077543
MLS Listing,,Vacant Land,3 Marcel Ct,Cornwall,NY,12518,59900,,,Cornwall,,102801,,113,,,Active,,,http://www.redfin.com/NY/CORNWALL/3-MARCEL-CT-12518/home/54988422,HGMLS,4921388,N,Y,41.398583,-74.078483
MLS Listing,,Single Family Residential,2 Center St,Cornwall,NY,12518,244999,2,2.0,Cornwall,1342,6098,1921,115,183,,Active,,,http://www.redfin.com/NY/Cornwall/2-Center-St-12518/home/54944745,HGMLS,4912156,N,Y,41.4161675,-74.0740315
MLS Listing,,Single Family Residential,8 Taft Pl,Cornwall On Hudson,NY,12520,459900,4,2.5,Cornwall-on-Hudson,2220,15681,1960,118,207,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/8-Taft-Pl-12520/home/54852859,HGMLS,4923103,N,Y,41.4412732,-74.0012066
MLS Listing,,Single Family Residential,7 Maple St,Cornwall,NY,12518,245000,3,1.5,Cornwall,1224,6534,1901,118,200,,Active,,,http://www.redfin.com/NY/Cornwall/7-Maple-St-12518/home/54909364,HGMLS,4923780,N,Y,41.439685,-74.0390649
MLS Listing,,Single Family Residential,10 Berry Hl,Mountainville,NY,10953,385000,4,2.5,Mountainville,2320,74052,1999,121,166,,Active,,,http://www.redfin.com/NY/Mountainville/10-Berry-Hl-10930/home/145459508,HGMLS,4919011,N,Y,41.4074645,-74.072386
MLS Listing,,Single Family Residential,107 Debra Ln,New Windsor,NY,12553,470000,4,2.5,New Windsor,2333,28749,2019,125,201,,Active,August-25-2019 11:00 AM,August-25-2019 04:00 PM,http://www.redfin.com/NY/New-Windsor/107-12553/home/162440414,HGMLS,4922748,N,Y,41.4306854,-74.052641
MLS Listing,,Vacant Land,374 Mineral Springs Rd,Highland Mills,NY,10930,2500000,,,Highland Mills,,7405200,,127,,,Active,,,http://www.redfin.com/NY/Highland-Mills/374-Mineral-Springs-Rd-10930/home/72599924,HGMLS,4922434,N,Y,41.38248,-74.074386
MLS Listing,,Single Family Residential,92 Boulevard,Cornwall On Hudson,NY,12520,318900,4,2.0,Cornwall-on-Hudson,2044,13939,1968,132,156,,Active,,,http://www.redfin.com/NY/Cornwall-on-Hudson/92-Boulevard-12520/home/146998733,HGMLS,4920793,N,Y,41.438987,-74.0141958
MLS Listing,,Single Family Residential,4 Toll House Rd,Cornwall,NY,12518,335000,4,2.0,Cornwall,1728,466091,1986,134,194,,Active,,,http://www.redfin.com/NY/Cornwall/4-Toll-House-Rd-12518/home/92375340,HGMLS,4919452,N,Y,41.409636,-74.062623
MLS Listing,,Single Family Residential,17 John St,New Windsor,NY,12553,195000,2,1.0,New Windsor,801,20037,1948,139,243,,Active,,,http://www.redfin.com/NY/New-Windsor/17-John-St-12553/home/54908129,HGMLS,4917454,N,Y,41.441916,-74.064556
MLS Listing,,Single Family Residential,79 Pea Hill Rd,Cornwall,NY,12518,545000,5,3.0,Cornwall,2970,130680,2004,143,184,,Active,,,http://www.redfin.com/NY/Cornwall/79-Pea-Hill-Rd-12518/home/103464898,HGMLS,4917618,N,Y,41.4343383,-74.0353681
MLS Listing,,Single Family Residential,27 Maple Rd,Cornwall On Hudson,NY,12520,544000,5,4.0,Cornwall-on-Hudson,3740,95832,1980,163,145,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/27-Maple-Rd-12520/home/54929640,HGMLS,4909157,N,Y,41.4284193,-74.0171437
MLS Listing,,Vacant Land,31 Boulder Dr,Cornwall,NY,12518,149000,,,Cornwall,,169884,,168,,,Active,,,http://www.redfin.com/NY/CORNWALL/31-BOULDER-DR-12518/home/72586784,HGMLS,4911700,N,Y,41.409776,-74.064773
MLS Listing,,Vacant Land,35 Agnes Rd,New Windsor,NY,12553,84000,,,New Windsor,,174240,,197,,,Active,,,http://www.redfin.com/NY/New-Windsor/35-Agnes-Rd-12553/home/54942205,HGMLS,4905282,N,Y,41.434958,-74.061229
MLS Listing,,Single Family Residential,8 Knoll Crest Ct #26,Cornwall,NY,12518,499000,3,2.5,Cornwall,2038,39639,2019,199,245,49,Active,,,http://www.redfin.com/NY/Cornwall/8-Knoll-Crest-Ct-12518/unit-26/home/160386983,HGMLS,4904973,N,Y,41.4438063,-74.0408553
MLS Listing,,Vacant Land,32 Paradise Hl,Cornwall,NY,12518,25000,,,Cornwall,,13939,,199,,,Active,,,http://www.redfin.com/NY/CORNWALL/32-PARADISE-HL-12518/home/92375283,HGMLS,4904942,N,Y,41.400451,-74.076963
MLS Listing,,Single Family Residential,6 Knoll Crest Ct,Cornwall,NY,12518,599900,4,3.0,Cornwall,2626,40881,2017,200,228,49,Active,,,http://www.redfin.com/NY/Cornwall/6-Knoll-Crest-Ct-12518/home/72608925,HGMLS,4904890,N,Y,41.4434337,-74.0414381
MLS Listing,,Multi-Family (2-4 Unit),9 Clara Ave,New Windsor,NY,12553,374500,7,3.0,New Windsor,3067,33105,1890,206,122,,Active,,,http://www.redfin.com/NY/New-Windsor/9-Clara-Ave-12553/home/54991441,HGMLS,4903903,N,Y,41.440714,-74.062421
MLS Listing,,Single Family Residential,31 Duncan Ave,Cornwall On Hudson,NY,12520,525000,5,3.5,Cornwall-on-Hudson,2826,43560,1920,209,186,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/31-Duncan-Ave-12520/home/92374488,HGMLS,4903737,N,Y,41.4430793,-74.0159198
MLS Listing,,Single Family Residential,105 Denniston Dr,New Windsor,NY,12553,580000,4,2.5,New Windsor,3508,95832,2004,209,165,,Active,,,http://www.redfin.com/NY/New-Windsor/105-Denniston-Dr-12553/home/92400083,HGMLS,4903179,N,Y,41.4353759,-74.0981414
MLS Listing,,Single Family Residential,46 Gadiri Dr,Highland Mills,NY,10930,409000,4,2.5,Highland Mills,2528,91476,1996,218,162,,Active,,,http://www.redfin.com/NY/Highland-Mills/46-Gadiri-Dr-10930/home/54915937,HGMLS,4902383,N,Y,41.393325,-74.0682217
MLS Listing,,Single Family Residential,24 Paradise Hl,Cornwall,NY,12518,92000,2,1.0,Cornwall,678,14810,1941,228,136,,Active,,,http://www.redfin.com/NY/CORNWALL/24-PARADISE-HL-12518/home/72589731,HGMLS,4900469,N,Y,41.400033,-74.077089
MLS Listing,,Vacant Land,2308 Nys 32 Rte,Cornwall,NY,12553,175000,,,Cornwall,,383328,,253,,,Active,,,http://www.redfin.com/NY/New-Windsor/2308-NY-32-12553/home/85295069,HGMLS,4855383,N,Y,41.4410704,-74.0572539
MLS Listing,,Multi-Family (2-4 Unit),266 Main St,Cornwall,NY,12518,290000,2,2.0,Cornwall,1500,5227,1950,263,193,,Active,,,http://www.redfin.com/NY/Cornwall/266-Main-St-12518/home/54994597,HGMLS,4854009,N,Y,41.4359217,-74.0331468
MLS Listing,,Single Family Residential,2 Country Ln,Cornwall,NY,12518,164500,2,1.0,Cornwall,968,12632,1952,265,170,,Active,,,http://www.redfin.com/NY/Cornwall/2-Country-Ln-12518/home/54905235,HGMLS,4854192,N,Y,41.4097623,-74.0595768
MLS Listing,,Single Family Residential,24 Knoll Crest Ct,Cornwall,NY,12518,464900,4,2.5,Cornwall,2626,20037,2019,278,177,50,Active,,,http://www.redfin.com/NY/CORNWALL/24-KNOLL-CREST-CT-12518/home/72608931,HGMLS,4834162,N,Y,41.446269,-74.037505
MLS Listing,,Single Family Residential,22 Knoll Crest Ct,Cornwall,NY,12518,451900,3,2.5,Cornwall,2038,20429,2019,278,222,50,Active,,,http://www.redfin.com/NY/Cornwall/22-Knoll-Crest-Ct-12518/home/72608930,HGMLS,4849947,N,Y,41.4459663,-74.0382139
MLS Listing,,Single Family Residential,109 Denniston Dr,New Windsor,NY,12553,749000,5,4.0,New Windsor,3686,,2003,300,203,,Active,,,http://www.redfin.com/NY/New-Windsor/109-Denniston-Dr-12553/home/54831863,HGMLS,4849942,N,Y,41.4342515,-74.0973384
MLS Listing,,Single Family Residential,195 Pleasant Hill Rd,Cornwall,NY,12553,399900,4,3.0,Cornwall,2405,161172,2019,324,166,,Active,,,http://www.redfin.com/NY/New-Windsor/195-Pleasant-Hill-Rd-12553/home/57111650,HGMLS,4845756,N,Y,41.428295,-74.069942
MLS Listing,,Single Family Residential,181 Pleasant Hill Rd,Cornwall,NY,12553,698000,4,3.5,Cornwall,3968,692604,2019,324,176,,Active,,,http://www.redfin.com/NY/New-Windsor/181-Pleasant-Hill-Rd-12553/home/92364919,HGMLS,4844579,N,Y,41.428287,-74.073176
